Title*,url,Supplier,Category,Measurement Unit 1 Code,Measurement Unit 2 Code,Internal Notes, Cost Formula ,Description,[C1],[C2],Size 1 Label,Size 2 Label,Common Names
"Brake Caliper, Wilwood, PS-1",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d9895077-1c5f-4540-8dfb-1b42ed45d6da&Action=View,Wilwood,Brake System,[Not Used],[Not Used],,46,,,,,,
"Brake Caliper, Yamaha (YZF 450), 5TG-2580T-00-00",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=9f1b925c-716b-4e31-b8cb-ba73fed9b73c&Action=View,Yamaha,Brake System,[Not Used],[Not Used],,91,,,,,,
Brake Hard Line Any Material (All Cost as Made),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=260a8cdc-a7c8-406f-98e8-ea5e7404f4ad&Action=View,Cost as made,Brake System,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
Brake Light Pressure Switch Banjo Bolt,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=1b7388e3-4ed2-41a6-be98-e33c7e269d65&Action=View,Any,Brake System,[Not Used],[Not Used],,8,,,,,,
"Brake Pad, Aluminum or MMC Rotor",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=963403b7-1f4c-44f9-9389-faa14ccf0bba&Action=View,Any,Brake System,mm^3,[Not Used],,0.0004*[Size1], Volume of pad and backing plate to be included in calculation,,,,,
"Brake Pad, Iron or Steel Rotor",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=76181b75-dacd-4cc1-bb22-d25f061d4b41&Action=View,Any,Brake System,mm^3,[Not Used],,0.0002*[Size1], Volume of pad and backing plate to be included in calculation.,,,,,
Brake Rotors (All Cost as Made),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=7cada1ce-e89f-4388-b905-a0a39405cd3d&Action=View,Cost as made,Brake System,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
Brass (by Dimensions),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3a5cfa8f-7b8b-44f9-b41a-b4ae50fb1bee&Action=View,Any,Raw Material,kg,[Not Used],,2.2*[Area]*[Length]*[Density], Density=8500kg/m^3,,,,,
Brass (per kg),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=0dd1ca88-71e9-4d42-b542-3f464c2c4124&Action=View,Any,Raw Material (per kg),kg,[Not Used],,[Size1]*2.2, Density= 8500kg/m^3,,,,,
"Break Coupling, Dry, Female, Goodridge",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=0c72b884-ef39-4f30-9801-91cb04aebe23&Action=View,Goodridge,Plumbing,[Not Used],[Not Used], AIR from ST,64, Sizes up to 8mm,,,,,
"Break Coupling, Dry, Female, KC Engineering",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=342365da-60b5-4c68-9cee-36970affca49&Action=View,KC Engineering,Plumbing,[Not Used],[Not Used],,85, Sizes up to 8mm,,,,,
"Break Coupling, Dry, Female, Staubli",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3abdd81e-8841-467d-a44b-1320583feef5&Action=View,Staubli,Plumbing,[Not Used],[Not Used],,85, Sizes up to 8mm,,,,,
"Break Coupling, Dry, Male, Goodridge",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=696c328f-8205-47ff-8ad9-77fa80ae263f&Action=View,Goodridge,Plumbing,[Not Used],[Not Used], AIR from ST,72.50, Sizes up to 8mm,,,,,
"Break Coupling, Dry, Male, KC Engineering",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=e71784ba-612e-4c2f-ba62-88849ff7dcab&Action=View,KC Engineering,Plumbing,[Not Used],[Not Used],,73.5, Sizes up to 8mm,,,,,
"Break Coupling, Dry, Male, Staubli",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=1a2a7423-7350-4401-a4c3-cfada1ff04d6&Action=View,Staubli,Plumbing,[Not Used],[Not Used],,73.5, Sizes up to 8mm,,,,,
Bronze (by Dimensions),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=30218c78-2d3a-4a77-906a-2a7cd714eea7&Action=View,Any,Raw Material,kg,[Not Used],,2.2*[Area]*[Length]*[Density], Density=8500kg/m^3,,,,,
Bronze (per kg),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=793d41e4-0a06-402a-a7c7-46360320b5e3&Action=View,Any,Raw Material (per kg),kg,[Not Used],,[Size1]*2.2, Density= 8500kg/m^3,,,,,
Cable Adjuster,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=0a4dae67-c23c-4aca-ad88-9726f6c27dec&Action=View,Any,Misc.,[Not Used],[Not Used],,1,,,,,,
Cable end clevis,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=7222be97-a33c-4198-81d8-f07760c8c395&Action=View,Any,Misc.,mm,[Not Used], AIR from ST,[C1]*[Size1]+[C2], Attaches to end of a cable or wire rope to allow fastening to a bracket. Can be attached with crimp or nut and ferrule. Does not include fastener to bracket.,0.5,1.0,Length,,
"Cable Tie Mount, Adhesive Backed",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3caf8de5-d9f5-4bce-918a-52aaf7431676&Action=View,Any,Hardware,[Not Used],[Not Used],,0.15," Adhesive mount for connecting cable ties, zip ties, etc. Normally is injection molded with a single loop for tie wrap connection.",,,,,
"Cable, Pull",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d5338601-ad35-46a9-8048-d94b282fd85e&Action=View,Any,Controls,m,[Not Used],,15*[Size1], Includes cable and housing and integral moutnings at both ends. Mounting hardware not included,,,,,
"Cable, Push/Pull",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=130fae93-9bf0-4f8c-a528-fa7cd3c22e65&Action=View,Any,Controls,m,[Not Used],,30*[Size1], Includes cable and housing and integral moutnings at both ends. Mounting hardware not included,,,Length,,
Carbon Fiber Reinf Carbon,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=476eb9ef-2499-483a-bca0-3b8596c38dc1&Action=View,Any,Composite,mm^3,[Not Used],,0.0092*[Size1], Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.,,,,,
"Carbon Fiber Reinf Silicon Carbide, Brake Pads",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8f993996-8ea0-48f8-8164-5be702aafeec&Action=View,Any,Composite,mm^3,[Not Used],,0.0012*[Size1], Note: actual cost is $0.0012 even though display shows $0.01 actual value is used in math.,,,,,
"Carbon Fiber Reinf Silicon Carbide, Brake Rotors",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=fc13ea63-baed-4e94-9f8e-c9f7dbe7d856&Action=View,Any,Composite,mm^3,[Not Used],,0.0092*[Size1], Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.,,,,,
"Carbon Fiber, 1 Ply",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d4c9e1bf-3170-4508-bcae-8866739e6aff&Action=View,Any,Composite,kg,[Not Used],,200*[Size1], Density=1580kg/m^3. Dry or Pre-Preg. Both include resin. Hand trimming allowed.,,,,,
Carburetor,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=420025be-f10f-487c-81fe-70a3fdd1a189&Action=View,Any,Engine,[Not Used],[Not Used],,50,,,,,,
"Ceramic Matrix Composite, 1 Ply",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3ec1e95d-7df4-4b78-a860-f590e5a1c135&Action=View,Any,Composite,kg,[Not Used],,500*[Size1], No official density due to density variability. Includes resin(matrix). Hand trimming allowed.,,,,,
Chain,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=91bc5be5-d39a-4bcc-800d-e538290d6689&Action=View,Any,Drivetrain,mm,[Not Used],,0.05*[Size1], Cost is for length dimension of a single row chain. Multiple row chains should be cost as $.05/mm/chain row. Master link included in price of chain.,,,,,
Chain Guard (All Cost as Made) ,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a6fc75de-9573-4fc8-9c45-86e2890c8fcb&Action=View,Cost as made,Drivetrain,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
"Chassis Cntrl Module, +Active Differential",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=5ac90abb-140f-4470-aaea-07be1429e2d4&Action=View,Student Built,Control Module,[Not Used],[Not Used],,125," Includes circuit board and circuitry for processing necessary inputs (wheel speed, axle speed, etc) and differential control outputs. Required Chassis Control Module, Baseline Enclosure. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, + Battery Charger HV",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c3dc0972-0b51-471a-9a4f-6e9ec98ce44f&Action=View,Any,EV - Control Module,kW,[Not Used],,600*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + Battery Charger LV",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ebe186d1-1799-40b1-bdb1-6beb47e732c7&Action=View,Any,EV - Control Module,pack,[Not Used],,100*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + Battery Management System",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=9a259b82-fb6e-48ac-af98-f4199eb0c674&Action=View,Any,EV - Control Module,channel,[Not Used],,20*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + DCDC-Power (>1A) HV->LV",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=fe71d07f-2a4c-4548-a580-490c2b96b6bf&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,70, See tab EV for more information,,,,,
"Chassis Control Module, + HC-HV Fuse incl. Box",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=4df0c328-9643-4e4b-99c7-296361ce013c&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,100, See tab EV for more information,,,,,
"Chassis Control Module, + HV Housing",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=611c927f-0866-4bff-a8e8-12dcc2d3414c&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,25, See tab EV for more information,,,,,
"Chassis Control Module, + HV Insulation Relay",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f5b73370-5fde-4be1-a6fa-93fcbbaeb9a9&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,120, See tab EV for more information,,,,,
"Chassis Control Module, + HV Precharge",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=96193db7-b2ef-4c74-8dab-5d91f51cdd85&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,50, See tab EV for more information,,,,,
"Chassis Control Module, + Isolation Monitoring Device",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=72df80b4-8fdd-43ce-a7be-9e841b3a9e5a&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,300, e.g. Bender ISO F1. See tab EV for more information,,,,,
"Chassis Control Module, + Motor Controller AC",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=0d38eb38-fb47-4c25-adc5-00bb7b126570&Action=View,Any,EV - Control Module,kW,[Not Used],,45*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + Motor Controller DC",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=98767783-079c-4f81-887a-cd0862ace61f&Action=View,Any,EV - Control Module,kW,[Not Used],,22.5*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + Power Distribution Module",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=fb898d2f-b1f9-4fa9-a807-500a694c1ed9&Action=View,Any,EV - Control Module,channel,[Not Used],,7*[Size1], See tab EV for more information,,,,,
"Chassis Control Module, + TSAL",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=197a6956-598e-4239-b9cf-57d52cc4e6b6&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,10, See tab EV for more information,,,,,
"Chassis Control Module, + TSAS, buzzer",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=1ddb1a91-d8a2-4311-baa7-97523d913df5&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,5, See tab EV for more information,,,,,
"Chassis Control Module, + TSAS, melody",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3bbd6919-7375-4acc-86ba-1c2b3153a9d1&Action=View,Any,EV - Control Module,[Not Used],[Not Used],,15, See tab EV for more information,,,,,
"Chassis Control Module, +Active Suspension",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=28298365-cc8f-41ea-99c1-25385390e95f&Action=View,Student Built,Control Module,[Not Used],[Not Used],,125," Includes circuit board and circuitry necessary inputs (damper position, velocity, etc) and damper control outputs. Required Chassis Control Module, Baseline Enclosure. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, +Automatic Shifter",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=516eaeb6-86c3-4d46-af6b-77d973e44e00&Action=View,Student Built,Control Module,[Not Used],[Not Used],,5," Includes circuit board and circuitry for processing sensor input from engine, output to shifter. Required Chassis Control Module, Baseline Enclosure. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, +Battery Charger",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=24457cdc-f30b-4a89-8f6b-dd42b74ecdbe&Action=View,Student Built,Control Module,[Not Used],[Not Used],,10," Includes circuit board and circuitry for processing battery health input from pack and charging outputs. Required Chassis Control Module, Baseline Enclosure. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, +Dashboard",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a179e9ea-1357-459d-bdc1-bd58df128eec&Action=View,Student Built,Control Module,[Not Used],[Not Used],,20," Includes circuit board and circuitry for processing sensor inputs and dashbboard outputs. Required Chassis Control Module, Baseline. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, +Dashboard, basic",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=37575901-19b5-4269-986d-a01314918aaf&Action=View,Student Built,Control Module,[Not Used],[Not Used],,5," Includes circuit board and circuitry for processing sensor input and output to one (1) engine actuator device. Include once per actuator in the chassis control module. Required Chassis Control Module, Baseline. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, +Electronic Brake Bias",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f15f612b-1268-4801-9b3b-ef170889c785&Action=View,Student Built,Control Module,[Not Used],[Not Used],,25,,,,,,
"Chassis Control Module, +Traction Control",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a4ae89fc-4433-46b2-94fd-04a3a5d2fea3&Action=View,Student Built,Control Module,[Not Used],[Not Used],,150," Includes circuit board and circuitry for processing sensor input from engine, output to shifter. Required Chassis Control Module, Baseline Enclosure. Sensors and wiring harness not included.",,,,,
"Chassis Control Module, Baseline Enclosure",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=b1d0df6e-8fcf-4ff2-90a6-f75d189f6375&Action=View,Student Built,Control Module,[Not Used],[Not Used],,25, Includes enclosure. This item must be included for all chassis control modules. Add functionality by adding additional line items.,,,,,
"Check Valve, High Press, Adj, In-Line, Generant",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=cdb0416e-d5df-4a6a-8436-7faf398e3f94&Action=View,Generant,Plumbing,[Not Used],[Not Used],,10,,,,,,
"Check Valve, Residuel Pressure",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=52ec4af6-b1e1-4d0b-983a-25e9da430ad1&Action=View,Any,Plumbing,[Not Used],[Not Used], AIR from ST RQA http://www.fsaeonline.com/cdsweb/rqa/viewinquiry.aspx?inquirynum=5260&backto=&backto=&backto=,10,,,,,,
"Circuit Breaker, Thermal, Klixon 7277-2-20",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=4649cf7e-1c32-402e-b022-abbf2cf0ec30&Action=View,Klixon,Electronics,[Not Used],[Not Used],,8.8,,,,,,
Clevis,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=7b5449ab-ce91-40a1-98f7-5fc16972b77d&Action=View,Any,Misc.,mm,[Not Used],,"[C1]*Math.pow([Size1],2)+[C2]", Includes male/female and left/right threads.,0.01,0.61,bore size (diameter of hole),,
CO2 Regulator,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=ac5c40c3-8c74-4676-b55e-686581ec4858&Action=View,Any,Shifter,[Not Used],[Not Used],,50,,,,,,
"CO2 Tank, Composite",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=563431e6-45ae-47c5-83b7-7d21c00c5a5b&Action=View,Any,Shifter,cc,[Not Used],,[C1]*[Size1]+[C2],,0.05,0.85,,,
"CO2 Tank, Metallic",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c1ce19dd-2c9e-4cb6-a86f-0d691cac7cae&Action=View,Any,Shifter,cc,[Not Used],,[C1]*[Size1]+[C2],,0.044,-5.44,,,
"Composite Panel Insert, Potted-in (NAS) Style, Torlon",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=29c3c788-9786-4b34-9484-f5337da0a051&Action=View,Torlon,Composites,[Not Used],[Not Used],,2, Any Size,,,,,
"Composite Panel Insert, Press Fit, Torlon",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=40197d97-c450-4836-838c-d9abc543d79d&Action=View,Torlon,Composites,[Not Used],[Not Used],,2, Any Size,,,,,
"Composite tubes, (All cost as made)",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=6da8be3a-0ceb-412c-b4f5-e0d37407cb03&Action=View,Cost as made,Composites,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
"Conduit incl. Nuts, Elbows etc.",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c24a39ba-0ad1-4a65-abf6-5e87ebea0a04&Action=View,Any,EV - Electronics,m,[Not Used],,1*[Size1], See tab EV for more information,,,,,
"Connector, Aerospace Quality",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=837a56ba-5285-4114-8b65-12bec4eda6c4&Action=View,Any,Electronics,pin,[Not Used],,1*[Size1],,,,,,
"Connector, Computer Type",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=5f77dc4f-555e-4d77-a5b7-6a75e86e8a25&Action=View,Any,Electronics,pin,[Not Used],,1*[Size1]," Seriel, Parallel, USB, Firewire, etc.",,,,,
"Connector, HC-HV incl. Interlock",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=98b183e1-3820-4c82-993a-f02d8477751f&Action=View,Any,EV - Electronics,pin,[Not Used],,30*[Size1], See tab EV for more information,,,,,
"Connector, HC-HV Lug Type",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=2fede4f2-0c9a-4e8e-9268-fbb3111fc425&Action=View,Any,EV - Electronics,pin,[Not Used],,1*[Size1], See tab EV for more information,,,,,
"Connector, High Power, > 2 Amps",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=1a1f0405-f3cd-4f96-810d-ef0ef4e62824&Action=View,Any,Electronics,pin,[Not Used],,2*[Size1]," Vehicle power, starter, alternator, etc.",,,,,
"Connector, OEM Quality",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f921d4e8-960a-4ad6-a0a7-1a28c29061e7&Action=View,Any,Electronics,pin,[Not Used],,0.5*[Size1],,,,,,
"Connector, Single Wire",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d08472c7-fb71-426b-84cc-c78489a648d6&Action=View,Any,Electronics,wire,[Not Used],,0.05*[Size1]," Any style, any size, per wire end. Includes, ring, spade, bullet, etc.",,,,,
"Constant Velocity Joint, Housing (All Cost as Made)",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=84fc40de-4e01-4f08-9012-c5e20c47aa93&Action=View,Cost as made,Drivetrain,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
"Constant Velocity Joint, Stub-shaft (All Cost as Made) ",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=25922e31-6d26-4671-916e-f488f44b06d1&Action=View,Cost as made,Drivetrain,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
"Constant Velocity Joint, Boot",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=e2c214f0-fb58-42a3-9f21-fc1311f5f428&Action=View,Any,Drivetrain,[Not Used],[Not Used],,5,,,,,,
"Constant Velocity Joint, Plug, Axial Locating",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=b15f14b2-3ecc-4a2f-850e-161fc6b56232&Action=View,Any,Drivetrain,[Not Used],[Not Used],,2.5, For example Taylor Race Engineering plastic snubber,,,,,
"Constant Velocity Joint, Rzepa Plunging",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=3943c6c6-3d8d-4374-abe6-6f0cc7ebbf82&Action=View,Any,Drivetrain,[Not Used],[Not Used],,20," 6-Ball plunging, includes grease, does not inlucde housing which is cost as made",,,,,
"Constant Velocity Joint, Rzeppa Fixed",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=8fca9b47-7527-4169-aee3-7d895f28676a&Action=View,Any,Drivetrain,[Not Used],[Not Used],,20," 6-Ball Non-plunging, includeas grease, does not inlucde housing which is cost as made",,,,,
"Constant Velocity Joint, Tripod",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=429779ba-2098-4e08-bb43-2ddd2a4bde9e&Action=View,Any,Drivetrain,[Not Used],[Not Used],,45," 3-Needle bearing plunging, includes grease, does not inlucde housing which is cost as made",,,,,
Control Arm (A-arm) (All cost as made),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=b5cf06a1-117b-4fcd-90c4-775cb8aab7ca&Action=View,Cost as made,Suspension,[Not Used],[Not Used],,10000," Do not use this exact material item in the report, for reference only. Create new item and cost as made.",,,,,
"Controller, Active Differential",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=6d928fae-1c7f-498a-9883-93c28f2c179d&Action=View,Any,Control Module,[Not Used],[Not Used],,200,,,,,,
"Controller, Active Suspension",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=2d7d9243-a2c8-4121-bc59-003732ce2545&Action=View,Any,Control Module,[Not Used],[Not Used],,200,,,,,,
"Coolant Pump, External Electric",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=83cec1fa-9cd0-4362-8e7d-952555e92fec&Action=View,Any,Engine,[Not Used],[Not Used],,20,,,,,,
Cooling System Air Bleed Valve,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=4ca47ce6-f72a-48a6-8fb3-1b39a0871fee&Action=View,Any,Engine,[Not Used],[Not Used],,6.5,,,,,,
Copper (by Dimensions),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=bc2c02ef-ca78-42c8-9595-924bdf85c4d6&Action=View,Any,Raw Material,kg,[Not Used],,2.2*[Area]*[Length]*[Density], Density=8940kg/m^3,,,,,
Copper (per kg),https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=f0117820-4faa-47b7-9432-53d5b7c46258&Action=View,Any,Raw Material (per kg),kg,[Not Used],,[Size1]*2.2, Density= 8940kg/m^3,,,,,
Cork,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=d8c6f4f6-240d-45b0-aae5-d8fd78997450&Action=View,Any,Raw Material,cm^3,[Not Used],,[Size1]*0.005,,,,,,
"Coupling, Shaft, Helical Beam",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=18c2b641-65f2-4444-9007-58627b0657b9&Action=View,Any,Hardware,mm,[Not Used],,([C1]*[Size1]+[C2]),,0.125,8.0,Coupling Outer Diameter,,
Crush Washer,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=47bc6043-8585-4f40-a689-371d6d138a04&Action=View,Any,Plumbing,mm,[Not Used],,[C1]*[Size1]+[C2]," Any material (steel, aluminum, copper, etc.)",0.027,0.12,Inner Diameter,,
"Damper, AFCO, 1650, Twin tube",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c36f448f-4f66-4a37-b692-701777adf925&Action=View,AFCO,Damper,[Not Used],[Not Used],,95,,,,,,
"Damper, AFCO, 513SP, Mono tube ",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a34918b0-a76f-4735-a261-c8cf02a6b62f&Action=View,AFCO,Damper,[Not Used],[Not Used],,85,,,,,,
